data;investigado;descartado;confirmado
29/06/2020;1;27;3
28/06/2020;2;24;3
27/06/2020;2;24;3
26/06/2020;2;24;3
25/06/2020;0;23;2
23/06/2020;1;22;2
22/06/2020;1;21;2
21/06/2020;1;20;2
20/06/2020;1;20;2
19/06/2020;1;19;2
18/06/2020;1;17;2
17/06/2020;1;16;2
16/06/2020;0;15;1
15/06/2020;2;13;1
14/06/2020;0;11;0
13/06/2020;0;11;0
12/06/2020;0;11;0
11/06/2020;0;11;0
10/06/2020;0;10;0
09/06/2020;0;10;0
08/06/2020;0;10;0
07/06/2020;0;10;0
06/06/2020;0;10;0
05/06/2020;0;10;0
04/06/2020;0;10;0
03/06/2020;0;9;0
02/06/2020;0;6;0
01/06/2020;0;6;0
31/05/2020;0;6;0
30/05/2020;0;6;0
29/05/2020;0;6;0
28/05/2020;0;6;0
27/05/2020;0;6;0
26/05/2020;0;6;0
25/05/2020;0;6;0
24/05/2020;0;6;0
23/05/2020;0;6;0
22/05/2020;0;6;0
21/05/2020;0;6;0
20/05/2020;0;6;0
19/05/2020;0;6;0
18/05/2020;0;6;0
17/05/2020;1;5;0
16/05/2020;1;5;0
15/05/2020;1;5;0
14/05/2020;0;5;0
13/05/2020;0;5;0
12/05/2020;0;5;0
11/05/2020;0;5;0
10/05/2020;0;5;0
09/05/2020;0;5;0
08/05/2020;0;5;0
07/05/2020;0;5;0
06/05/2020;0;5;0
05/05/2020;0;5;0
04/05/2020;0;5;0
03/05/2020;2;3;0
02/05/2020;2;3;0
30/04/2020;1;3;0
29/04/2020;1;3;0
28/04/2020;2;2;0
27/04/2020;2;2;0
31/03/2020;1;0;0
27/03/2020;0;0;0
26/03/2020;0;0;0
25/03/2020;0;0;0
24/03/2020;0;0;0
22/03/2020;0;0;0
21/03/2020;0;0;0
